Date,Workout,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,182,,,,,,,,
2015-11-16 18:10,182,,,,,,,,
2015-11-16 18:10,182,,,,,,,,
2015-11-16 18:10,272,,,,,,,,
2015-11-16 18:10,272,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,198,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,269,,,,,,,,
2015-11-18 17:33,269,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,197,,,,,,,,
2015-11-18 17:33,198,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,265,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,222,,,,,,,,
2015-11-18 17:33,269,,,,,,,,
2015-11-18 17:33,269,,,,,,,,
2015-11-21 18:32,274,,,,,,,,
2015-11-21 18:32,274,,,,,,,,
2015-11-21 18:32,274,,,,,,,,
2015-11-21 18:32,274,,,,,,,,
2015-11-21 18:32,182,,,,,,,,
2015-11-21 18:32,182,,,,,,,,
2015-11-21 18:32,182,,,,,,,,
2015-11-21 18:32,182,,,,,,,,
2015-11-21 18:32,272,,,,,,,,
2015-11-21 18:32,272,,,,,,,,
2015-11-21 18:32,272,,,,,,,,
